ID,K_half_apoptosis,K_half_growth,activation_threshold,akt_node,anti_akt_node,anti_mek_node,anti_pi3k_node,anti_tak1_node,apoptosis_rate_basal,attachment_elastic_constant,attachment_rate,basal_growth_rate,calcification_rate,calcified_fraction,cell_BM_adhesion_strength,cell_BM_repulsion_strength,cell_cell_adhesion_strength,cell_cell_repulsion_strength,cell_count_voxel,cell_density_micron3,cell_type,chemotaxis_direction,chemotaxis_index,contact_with_basement_membrane,current_cycle_phase_exit_rate,current_death_model,current_phase,cycle_model,cytoplasmic_biomass_change_rate,cytoplasmic_volume,damage,damage_rate,dead,dead_phagocytosis_rate,death_rates_0,death_rates_1,default_attack_rates,default_cell_adhesion_affinities,default_fusion_rates,default_live_phagocytosis_rates,default_transformation_rates,detachment_rate,drug_X,drug_X_Hill_coeff,drug_X_chemotactic_sensitivities,drug_X_decay_rate,drug_X_diffusion_coefficient,drug_X_external_density,drug_X_fraction_released_at_death,drug_X_fraction_transferred_when_ingested,drug_X_half_max,drug_X_internal_density,drug_X_internalized_total_substrates,drug_X_net_export_rates,drug_X_permeability,drug_X_saturation_densities,drug_X_secretion_rates,drug_X_uptake_rates,drug_Y,drug_Y_Hill_coeff,drug_Y_chemotactic_sensitivities,drug_Y_decay_rate,drug_Y_diffusion_coefficient,drug_Y_external_density,drug_Y_fraction_released_at_death,drug_Y_fraction_transferred_when_ingested,drug_Y_half_max,drug_Y_internal_density,drug_Y_internalized_total_substrates,drug_Y_net_export_rates,drug_Y_permeability,drug_Y_saturation_densities,drug_Y_secretion_rates,drug_Y_uptake_rates,elapsed_time_in_phase,fluid_change_rate,fluid_fraction,hill_coeff_apoptosis,hill_coeff_growth,hill_coeff_pressure,is_motile,max_apoptosis_rate,maximum_number_of_attachments,mek_node,mesh_center_m,mesh_center_n,mesh_center_p,migration_bias,migration_bias_direction_vectorlength,migration_bias_direction_x,migration_bias_direction_y,migration_bias_direction_z,migration_speed,motility_vector_vectorlength,motility_vector_x,motility_vector_y,motility_vector_z,mutation_rate,nuclear_biomass_change_rate,nuclear_radius,nuclear_volume,number_of_nuclei,orientation_vectorlength,orientation_x,orientation_y,orientation_z,oxygen,oxygen_chemotactic_sensitivities,oxygen_decay_rate,oxygen_diffusion_coefficient,oxygen_external_density,oxygen_fraction_released_at_death,oxygen_fraction_transferred_when_ingested,oxygen_internal_density,oxygen_internalized_total_substrates,oxygen_net_export_rates,oxygen_saturation_densities,oxygen_secretion_rates,oxygen_uptake_rates,persistence_time,pi3k_node,polarity,position_vectorlength,position_x,position_y,position_z,pressure,pressure_half,radius,reactivation_rate,relative_maximum_adhesion_distance,runtime,sample,state,state_nil,surface_area,tak1_node,target_fluid_fraction,target_solid_cytoplasmic,target_solid_nuclear,time,total_attack_time,total_volume,velocity_vectorlength,velocity_x,velocity_y,velocity_z,voxel_i,voxel_j,voxel_k,w1_apoptosis,w1_growth,w2_apoptosis,w2_growth,xmlfile,node_CCND1,node_Caspase37,node_Caspase8,node_Caspase9,node_FOXO,node_RSK,node_TCF,node_cMYC,node_anti_MEK,node_anti_PI3K
10,0.0193,0.0585,0.0,0.0,0.0,0.0,0.0,0.0,5.31667e-05,0.01,0.0,0.00209,0.0,0.0,4.0,10.0,0.4,10.0,1,0.000125,default,1.0,0,False,0.00209,0,live,live_cells_cycle_model,0.0045,1954.0,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.503406625769999,0.0,0.0,600.0,0.0,0.0,0.0,3.3857220000000006e-05,0.0,0.0,0.0,0.00021979189,0.0,0.0,0.0,0.0,5.0,0.0,0.0,600.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.75,3.6787,6.9505,6.9583485811,False,0.0098,12,0.0,-30.0,-10.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0055,5.051670902881888,540.0,1,1.0,0.0,0.0,1.0,38.0,0.0,0.1,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,10.0,1.0,0.0,1.0,23.313987357483732,-20.190505315090146,-11.656993678741864,0.0,0.0,4.7920543763,8.412710547954227,0.0,1.25,3.5e-07,1.0,<nil>,True,889.3685284131697,0.0,0.75,488.5,135.0,0.0,0.0,2494.0,0.0,0.0,0.0,0.0,28,29,0,0.1092,0.2215,0.3765,0.2574,output00000000.xml,,,,,,,,,,
11,0.0193,0.0585,0.0,0.0,0.0,0.0,0.0,0.0,5.31667e-05,0.01,0.0,0.00209,0.0,0.0,4.0,10.0,0.4,10.0,1,0.000125,default,1.0,0,False,0.00209,0,live,live_cells_cycle_model,0.0045,1954.0,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.503406625769999,0.0,0.0,600.0,0.0,0.0,0.0,3.3857220000000006e-05,0.0,0.0,0.0,0.00021979189,0.0,0.0,0.0,0.0,5.0,0.0,0.0,600.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.75,3.6787,6.9505,6.9583485811,False,0.0098,12,0.0,10.0,30.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0055,5.051670902881888,540.0,1,1.0,0.0,0.0,1.0,38.0,0.0,0.1,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,10.0,1.0,0.0,1.0,23.31398735748373,0.0,23.31398735748373,0.0,0.0,4.7920543763,8.412710547954227,0.0,1.25,3.5e-07,1.0,<nil>,True,889.3685284131697,0.0,0.75,488.5,135.0,0.0,0.0,2494.0,0.0,0.0,0.0,0.0,30,31,0,0.1092,0.2215,0.3765,0.2574,output00000000.xml,,,,,,,,,,
12,0.0193,0.0585,0.0,0.0,0.0,0.0,0.0,0.0,5.31667e-05,0.01,0.0,0.00209,0.0,0.0,4.0,10.0,0.4,10.0,1,0.000125,default,1.0,0,False,0.00209,0,live,live_cells_cycle_model,0.0045,1954.0,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.503406625769999,0.0,0.0,600.0,0.0,0.0,0.0,3.3857220000000006e-05,0.0,0.0,0.0,0.00021979189,0.0,0.0,0.0,0.0,5.0,0.0,0.0,600.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.75,3.6787,6.9505,6.9583485811,False,0.0098,12,0.0,10.0,-30.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0055,5.051670902881888,540.0,1,1.0,0.0,0.0,1.0,38.0,0.0,0.1,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,10.0,1.0,0.0,1.0,23.31398735748373,0.0,-23.31398735748373,0.0,0.0,4.7920543763,8.412710547954227,0.0,1.25,3.5e-07,1.0,<nil>,True,889.3685284131697,0.0,0.75,488.5,135.0,0.0,0.0,2494.0,0.0,0.0,0.0,0.0,30,28,0,0.1092,0.2215,0.3765,0.2574,output00000000.xml,,,,,,,,,,
0,0.0193,0.0585,0.0,1.0,0.0,0.0,0.0,0.0,5.31667e-05,0.01,0.0,0.00209,0.0,0.0,4.0,100.0,0.4,10.0,3,0.000375,default,1.0,0,False,0.00015964105661842254,0,live,live_cells_cycle_model,0.0045,1954.0,0.0,1.0,False,0.0,0.000329687835,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.503406625769999,0.0,0.0,600.0,0.0,0.0,0.0,3.3857220000000006e-05,0.0,0.0,0.0,0.00021979189,0.0,0.0,0.0,0.0,5.0,0.0,0.0,600.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.0,42.00000000000141,0.05,0.75,3.6787,6.9505,6.9583485811,False,0.0098,12,1.0,10.0,10.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0055,5.051670902881888,540.0,1,1.0,0.0,0.0,1.0,29.57988697692772,0.0,0.1,100000.0,0.0,0.0,0.0,0.0,30479486.958399486,0.0,38.0,0.0,10.0,1.0,1.0,1.0,4.407932352457067e-16,-4.407932352457067e-16,0.0,0.0,0.7009734317715526,4.7920543763,8.412710547954227,0.0,1.25,0.013895666666666667,1.0,Caspase9 -- cMYC -- Caspase37 -- TCF,False,889.3685284131697,1.0,0.75,488.5,135.0,40.0,0.0,2494.0,0.0,0.0,0.0,0.0,30,30,0,0.1092,0.2215,0.3765,0.2574,output00000001.xml,False,True,False,True,False,False,True,True,,
1,0.0193,0.0585,0.0,0.0,0.0,0.0,0.0,0.0,5.31667e-05,0.01,0.0,0.00209,0.0,0.0,4.0,100.0,0.4,10.0,3,0.000375,default,1.0,0,False,0.00015964425811205483,0,live,live_cells_cycle_model,0.0045,1954.0,0.0,1.0,False,0.0,0.000329687835,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.503406625769999,0.0,0.0,600.0,0.0,0.0,0.0,3.3857220000000006e-05,0.0,0.0,0.0,0.00021979189,0.0,0.0,0.0,0.0,5.0,0.0,0.0,600.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.0,42.00000000000141,0.05,0.75,3.6787,6.9505,6.9583485811,False,0.0098,12,1.0,10.0,10.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0055,5.051670902881888,540.0,1,1.0,0.0,0.0,1.0,29.57988697692772,0.0,0.1,100000.0,0.0,0.0,0.0,0.0,29457140.498491693,0.0,38.0,0.0,10.0,1.0,0.0,1.0,15.876180998408874,15.876180998408874,-7.9363599025939e-18,0.0,0.5841445264762932,4.7920543763,8.412710547954227,0.0,1.25,0.013895666666666667,1.0,Caspase8 -- cMYC -- Caspase37 -- TCF -- CCND1,False,889.3685284131697,1.0,0.75,488.5,135.0,40.0,0.0,2494.0,0.0,0.0,0.0,0.0,30,30,0,0.1092,0.2215,0.3765,0.2574,output00000001.xml,True,True,True,False,False,False,True,True,,
2,0.0193,0.0585,0.0,0.0,0.0,0.0,0.0,0.0,5.31667e-05,0.01,0.0,0.00209,0.0,0.0,4.0,100.0,0.4,10.0,2,0.00025,default,1.0,0,False,0.00016625499718636827,0,live,live_cells_cycle_model,0.0045,1954.0,0.0,1.0,False,0.0,0.0003297895584817999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.503406625769999,0.0,0.0,600.0,0.0,0.0,0.0,3.3857220000000006e-05,0.0,0.0,0.0,0.00021979189,0.0,0.0,0.0,0.0,5.0,0.0,0.0,600.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.0,42.00000000000141,0.05,0.75,3.6787,6.9505,6.9583485811,False,0.0098,12,0.0,-10.0,10.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0055,5.051670902881888,540.0,1,1.0,0.0,0.0,1.0,29.62351140924732,0.0,0.1,100000.0,0.0,0.0,0.0,0.0,30560361.51629536,0.0,38.0,0.0,10.0,1.0,0.0,1.0,15.876180998408874,-15.876180998408874,-7.229239056393003e-18,0.0,0.5841445264762932,4.7920543763,8.412710547954227,0.0,1.25,0.013895666666666667,1.0,Caspase8 -- FOXO -- cMYC -- Caspase37 -- TCF -- CCND1,False,889.3685284131697,0.0,0.75,488.5,135.0,40.0,0.0,2494.0,0.0,0.0,0.0,0.0,29,30,0,0.1092,0.2215,0.3765,0.2574,output00000001.xml,True,True,True,False,True,False,True,True,,
3,0.0193,0.0585,0.0,0.0,0.0,0.0,0.0,0.0,5.31667e-05,0.01,0.0,0.00209,0.0,0.0,4.0,100.0,0.4,10.0,3,0.000375,default,1.0,0,False,0.00015964425811205483,0,live,live_cells_cycle_model,0.0045,1954.0,0.0,1.0,False,0.0,0.0003297895584817999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.503406625769999,0.0,0.0,600.0,0.0,0.0,0.0,3.3857220000000006e-05,0.0,0.0,0.0,0.00021979189,0.0,0.0,0.0,0.0,5.0,0.0,0.0,600.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.0,42.00000000000141,0.05,0.75,3.6787,6.9505,6.9583485811,False,0.0098,12,1.0,10.0,10.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0055,5.051670902881888,540.0,1,1.0,0.0,0.0,1.0,29.57988697692772,0.0,0.1,100000.0,0.0,0.0,0.0,0.0,29165444.872747015,0.0,38.0,0.0,10.0,1.0,1.0,1.0,15.876180998408861,7.938090499204437,13.749176059701862,0.0,0.5841445264762928,4.7920543763,8.412710547954227,0.0,1.25,0.013895666666666667,1.0,Caspase8 -- FOXO -- cMYC -- Caspase37 -- TCF -- CCND1,False,889.3685284131697,0.0,0.75,488.5,135.0,40.0,0.0,2494.0,0.0,0.0,0.0,0.0,30,30,0,0.1092,0.2215,0.3765,0.2574,output00000001.xml,True,True,True,False,True,False,True,True,,
4,0.0193,0.0585,0.0,1.0,0.0,0.0,0.0,0.0,5.31667e-05,0.01,0.0,0.00209,0.0,0.0,4.0,100.0,0.4,10.0,1,0.000125,default,1.0,0,False,0.00017222784706301102,0,live,live_cells_cycle_model,0.0045,1954.0,0.0,1.0,False,0.0,0.000329687835,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.503406625769999,0.0,0.0,600.0,0.0,0.0,0.0,3.3857220000000006e-05,0.0,0.0,0.0,0.00021979189,0.0,0.0,0.0,0.0,5.0,0.0,0.0,600.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.0,42.00000000000141,0.05,0.75,3.6787,6.9505,6.9583485811,False,0.0098,12,1.0,10.0,-10.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0055,5.051670902881888,540.0,1,1.0,0.0,0.0,1.0,30.57110542137821,0.0,0.1,100000.0,0.0,0.0,0.0,0.0,30564225.129103594,0.0,38.0,0.0,10.0,1.0,1.0,1.0,15.876180998408861,7.938090499204437,-13.749176059701862,0.0,0.5841445264762928,4.7920543763,8.412710547954227,0.0,1.25,0.013895666666666667,1.0,RSK -- cMYC -- Caspase37 -- TCF -- CCND1,False,889.3685284131697,0.0,0.75,488.5,135.0,40.0,0.0,2494.0,0.0,0.0,0.0,0.0,30,29,0,0.1092,0.2215,0.3765,0.2574,output00000001.xml,True,True,False,False,False,True,True,True,,
5,0.0193,0.0585,0.0,1.0,0.0,0.0,0.0,0.0,5.31667e-05,0.01,0.0,0.00209,0.0,0.0,4.0,100.0,0.4,10.0,2,0.00025,default,1.0,0,False,0.00016625499718636827,0,live,live_cells_cycle_model,0.0045,1954.0,0.0,1.0,False,0.0,0.000329687835,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.503406625769999,0.0,0.0,600.0,0.0,0.0,0.0,3.3857220000000006e-05,0.0,0.0,0.0,0.00021979189,0.0,0.0,0.0,0.0,5.0,0.0,0.0,600.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.0,42.00000000000141,0.05,0.75,3.6787,6.9505,6.9583485811,False,0.0098,12,1.0,-10.0,10.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0055,5.051670902881888,540.0,1,1.0,0.0,0.0,1.0,29.62351140924732,0.0,0.1,100000.0,0.0,0.0,0.0,0.0,30409063.305929523,0.0,38.0,0.0,10.0,1.0,1.0,1.0,15.876180998408861,-7.938090499204437,13.749176059701862,0.0,0.5841445264762928,4.7920543763,8.412710547954227,0.0,1.25,0.013895666666666667,1.0,RSK -- cMYC -- Caspase37 -- CCND1,False,889.3685284131697,0.0,0.75,488.5,135.0,40.0,0.0,2494.0,0.0,0.0,0.0,0.0,29,30,0,0.1092,0.2215,0.3765,0.2574,output00000001.xml,True,True,False,False,False,True,False,True,,
6,0.0193,0.0585,0.0,0.0,0.0,0.0,0.0,0.0,5.31667e-05,0.01,0.0,0.00209,0.0,0.0,4.0,100.0,0.4,10.0,1,0.000125,default,1.0,0,False,0.00017270350478141802,0,live,live_cells_cycle_model,0.0045,1954.0,0.0,1.0,False,0.0,0.000329687835,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.503406625769999,0.0,0.0,600.0,0.0,0.0,0.0,3.3857220000000006e-05,0.0,0.0,0.0,0.00021979189,0.0,0.0,0.0,0.0,5.0,0.0,0.0,600.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.0,42.00000000000141,0.05,0.75,3.6787,6.9505,6.9583485811,False,0.0098,12,0.0,-10.0,-10.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0055,5.051670902881888,540.0,1,1.0,0.0,0.0,1.0,30.615981646626146,0.0,0.1,100000.0,0.0,0.0,0.0,0.0,30631795.618876163,0.0,38.0,0.0,10.0,1.0,0.0,1.0,15.876180998408861,-7.938090499204437,-13.749176059701862,0.0,0.5841445264762928,4.7920543763,8.412710547954227,0.0,1.25,0.013895666666666667,1.0,Caspase8 -- Caspase9 -- cMYC -- Caspase37 -- TCF -- CCND1,False,889.3685284131697,1.0,0.75,488.5,135.0,40.0,0.0,2494.0,0.0,0.0,0.0,0.0,29,29,0,0.1092,0.2215,0.3765,0.2574,output00000001.xml,True,True,True,True,False,False,True,True,,
7,0.0193,0.0585,0.0,0.0,0.0,0.0,0.0,0.0,5.31667e-05,0.01,0.0,0.00209,0.0,0.0,4.0,100.0,0.4,10.0,1,0.000125,default,1.0,0,False,0.00017322920558234092,0,live,live_cells_cycle_model,0.0045,1954.0,0.0,1.0,False,0.0,0.000329687835,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.503406625769999,0.0,0.0,600.0,0.0,0.0,0.0,3.3857220000000006e-05,0.0,0.0,0.0,0.00021979189,0.0,0.0,0.0,0.0,5.0,0.0,0.0,600.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.0,42.00000000000141,0.05,0.75,3.6787,6.9505,6.9583485811,False,0.0098,12,1.0,30.0,10.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0055,5.051670902881888,540.0,1,1.0,0.0,0.0,1.0,30.71772276421628,0.0,0.1,100000.0,0.0,0.0,0.0,0.0,30710515.826092664,0.0,38.0,0.0,10.0,1.0,0.0,1.0,27.498352119403744,23.814271497613305,13.74917605970187,0.0,0.23365781059051602,4.7920543763,8.412710547954227,0.0,1.25,0.013895666666666667,1.0,Caspase8 -- cMYC -- Caspase37 -- TCF -- CCND1,False,889.3685284131697,1.0,0.75,488.5,135.0,40.0,0.0,2494.0,0.0,0.0,0.0,0.0,31,30,0,0.1092,0.2215,0.3765,0.2574,output00000001.xml,True,True,True,False,False,False,True,True,,
8,0.0193,0.0585,0.0,0.0,0.0,0.0,0.0,0.0,5.31667e-05,0.01,0.0,0.00209,0.0,0.0,4.0,100.0,0.4,10.0,1,0.000125,default,1.0,0,False,0.00017344284992040475,0,live,live_cells_cycle_model,0.0045,1954.0,0.0,1.0,False,0.0,0.00021979189,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.503406625769999,0.0,0.0,600.0,0.0,0.0,0.0,3.3857220000000006e-05,0.0,0.0,0.0,0.00021979189,0.0,0.0,0.0,0.0,5.0,0.0,0.0,600.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.0,42.00000000000141,0.05,0.75,3.6787,6.9505,6.9583485811,False,0.0098,12,1.0,30.0,-10.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0055,5.051670902881888,540.0,1,1.0,0.0,0.0,1.0,30.758241529888874,0.0,0.1,100000.0,0.0,0.0,0.0,0.0,30759332.31413295,0.0,38.0,0.0,10.0,1.0,0.0,1.0,27.498352119403744,23.814271497613305,-13.74917605970187,0.0,0.23365781059051602,4.7920543763,8.412710547954227,0.0,1.25,0.013895666666666667,1.0,TCF,False,889.3685284131697,1.0,0.75,488.5,135.0,40.0,0.0,2494.0,0.0,0.0,0.0,0.0,31,29,0,0.1092,0.2215,0.3765,0.2574,output00000001.xml,False,False,False,False,False,False,True,False,,
9,0.0193,0.0585,0.0,0.0,0.0,0.0,0.0,0.0,5.31667e-05,0.01,0.0,0.00209,0.0,0.0,4.0,100.0,0.4,10.0,1,0.000125,default,1.0,0,False,0.00017370693265929743,0,live,live_cells_cycle_model,0.0045,1954.0,0.0,1.0,False,0.0,0.0003297895584817999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.503406625769999,0.0,0.0,600.0,0.0,0.0,0.0,3.3857220000000006e-05,0.0,0.0,0.0,0.00021979189,0.0,0.0,0.0,0.0,5.0,0.0,0.0,600.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.0,42.00000000000141,0.05,0.75,3.6787,6.9505,6.9583485811,False,0.0098,12,1.0,-30.0,10.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0055,5.051670902881888,540.0,1,1.0,0.0,0.0,1.0,30.75990242657807,0.0,0.1,100000.0,0.0,0.0,0.0,0.0,30776545.201007858,0.0,38.0,0.0,10.0,1.0,1.0,1.0,27.498352119403744,-23.814271497613305,13.74917605970187,0.0,0.23365781059051602,4.7920543763,8.412710547954227,0.0,1.25,0.013895666666666667,1.0,RSK -- Caspase8 -- FOXO -- cMYC -- Caspase37 -- TCF,False,889.3685284131697,1.0,0.75,488.5,135.0,40.0,0.0,2494.0,0.0,0.0,0.0,0.0,28,30,0,0.1092,0.2215,0.3765,0.2574,output00000001.xml,False,True,True,False,True,True,True,True,,
10,0.0193,0.0585,0.0,0.0,0.0,0.0,0.0,0.0,5.31667e-05,0.01,0.0,0.00209,0.0,0.0,4.0,100.0,0.4,10.0,1,0.000125,default,1.0,0,False,0.0001738444699634801,0,live,live_cells_cycle_model,0.0045,1954.0,0.0,1.0,False,0.0,0.00021979189,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.503406625769999,0.0,0.0,600.0,0.0,0.0,0.0,3.3857220000000006e-05,0.0,0.0,0.0,0.00021979189,0.0,0.0,0.0,0.0,5.0,0.0,0.0,600.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.0,42.00000000000141,0.05,0.75,3.6787,6.9505,6.9583485811,False,0.0098,12,1.0,-30.0,-10.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0055,5.051670902881888,540.0,1,1.0,0.0,0.0,1.0,30.800096919643,0.0,0.1,100000.0,0.0,0.0,0.0,0.0,30814931.52277681,0.0,38.0,0.0,10.0,1.0,0.0,1.0,27.498352119403744,-23.814271497613305,-13.74917605970187,0.0,0.23365781059051602,4.7920543763,8.412710547954227,0.0,1.25,0.013895666666666667,1.0,Caspase8 -- cMYC -- TCF -- CCND1,False,889.3685284131697,1.0,0.75,488.5,135.0,40.0,0.0,2494.0,0.0,0.0,0.0,0.0,28,29,0,0.1092,0.2215,0.3765,0.2574,output00000001.xml,True,False,True,False,False,False,True,True,,
11,0.0193,0.0585,0.0,1.0,0.0,0.0,0.0,0.0,5.31667e-05,0.01,0.0,0.00209,0.0,0.0,4.0,100.0,0.4,10.0,1,0.000125,default,1.0,0,False,0.00017351245967833092,0,live,live_cells_cycle_model,0.0045,1954.0,0.0,1.0,False,0.0,0.00021979189,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.503406625769999,0.0,0.0,600.0,0.0,0.0,0.0,3.3857220000000006e-05,0.0,0.0,0.0,0.00021979189,0.0,0.0,0.0,0.0,5.0,0.0,0.0,600.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.0,42.00000000000141,0.05,0.75,3.6787,6.9505,6.9583485811,False,0.0098,12,1.0,10.0,30.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0055,5.051670902881888,540.0,1,1.0,0.0,0.0,1.0,30.75939691009169,0.0,0.1,100000.0,0.0,0.0,0.0,0.0,30752224.24785945,0.0,38.0,0.0,10.0,1.0,0.0,1.0,27.498352119403727,0.0,27.498352119403727,0.0,0.23365781059051785,4.7920543763,8.412710547954227,0.0,1.25,0.013895666666666667,1.0,cMYC -- TCF -- CCND1,False,889.3685284131697,1.0,0.75,488.5,135.0,40.0,0.0,2494.0,0.0,0.0,0.0,0.0,30,31,0,0.1092,0.2215,0.3765,0.2574,output00000001.xml,True,False,False,False,False,False,True,True,,
12,0.0193,0.0585,0.0,0.0,0.0,0.0,0.0,0.0,5.31667e-05,0.01,0.0,0.00209,0.0,0.0,4.0,100.0,0.4,10.0,1,0.000125,default,1.0,0,False,0.0001738109222506591,0,live,live_cells_cycle_model,0.0045,1954.0,0.0,1.0,False,0.0,0.000329687835,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.503406625769999,0.0,0.0,600.0,0.0,0.0,0.0,3.3857220000000006e-05,0.0,0.0,0.0,0.00021979189,0.0,0.0,0.0,0.0,5.0,0.0,0.0,600.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.0,42.00000000000141,0.05,0.75,3.6787,6.9505,6.9583485811,False,0.0098,12,1.0,10.0,-30.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0055,5.051670902881888,540.0,1,1.0,0.0,0.0,1.0,30.810346114194118,0.0,0.1,100000.0,0.0,0.0,0.0,0.0,30812550.03240381,0.0,38.0,0.0,10.0,1.0,0.0,1.0,27.498352119403727,0.0,-27.498352119403727,0.0,0.23365781059051785,4.7920543763,8.412710547954227,0.0,1.25,0.013895666666666667,1.0,Caspase8 -- cMYC -- Caspase37 -- TCF -- CCND1,False,889.3685284131697,1.0,0.75,488.5,135.0,40.0,0.0,2494.0,0.0,0.0,0.0,0.0,30,28,0,0.1092,0.2215,0.3765,0.2574,output00000001.xml,True,True,True,False,False,False,True,True,,
