time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-07 00:00:00+00:00,15,9,23,6
2025-07-08 00:00:00+00:00,11,5,9,2
2025-07-09 00:00:00+00:00,11,5,3,3
2025-07-10 00:00:00+00:00,11,4,14,2
2025-07-11 00:00:00+00:00,14,8,30,7
2025-07-12 00:00:00+00:00,8,2,1,1
2025-07-13 00:00:00+00:00,12,6,1,1
2025-07-14 00:00:00+00:00,9,3,13,4
2025-07-15 00:00:00+00:00,10,4,8,3
2025-07-16 00:00:00+00:00,183,3,3,2
2025-07-17 00:00:00+00:00,10,4,27,8
2025-07-18 00:00:00+00:00,401,5,8,6
2025-07-19 00:00:00+00:00,11,4,15,5
2025-07-20 00:00:00+00:00,1,1,25,5
