time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-17 00:00:00+00:00,16,7,11,2
2026-06-18 00:00:00+00:00,14,3,16,4
2026-06-19 00:00:00+00:00,34,9,4,2
2026-06-20 00:00:00+00:00,32,8,4,3
2026-06-21 00:00:00+00:00,45,11,12,3
2026-06-22 00:00:00+00:00,22,7,4,3
2026-06-23 00:00:00+00:00,28,8,16,4
2026-06-24 00:00:00+00:00,36,11,63,4
2026-06-25 00:00:00+00:00,42,12,7,4
2026-06-26 00:00:00+00:00,26,9,10,2
2026-06-27 00:00:00+00:00,16,6,2,2
2026-06-28 00:00:00+00:00,26,14,8,1
2026-06-29 00:00:00+00:00,17,8,3,1
2026-06-30 00:00:00+00:00,20,10,8,3
