time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-09 00:00:00+00:00,15,5,6,1
2026-04-10 00:00:00+00:00,28,11,6,2
2026-04-11 00:00:00+00:00,38,12,1,1
2026-04-12 00:00:00+00:00,6,4,5,1
2026-04-13 00:00:00+00:00,7,5,9,5
2026-04-14 00:00:00+00:00,9,4,7,2
2026-04-15 00:00:00+00:00,26,7,0,0
2026-04-16 00:00:00+00:00,26,9,11,6
2026-04-17 00:00:00+00:00,91,7,44,5
2026-04-18 00:00:00+00:00,25,9,1,1
2026-04-19 00:00:00+00:00,29,10,0,0
2026-04-20 00:00:00+00:00,53,22,7,5
2026-04-21 00:00:00+00:00,56,28,8,3
2026-04-22 00:00:00+00:00,77,30,2,1
