time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-22 00:00:00+00:00,8,4,1,1
2026-05-23 00:00:00+00:00,21,8,10,2
2026-05-24 00:00:00+00:00,10,5,34,3
2026-05-25 00:00:00+00:00,56,15,5,1
2026-05-26 00:00:00+00:00,496,79,9,2
2026-05-27 00:00:00+00:00,513,66,1,1
2026-05-28 00:00:00+00:00,156,33,0,0
2026-05-29 00:00:00+00:00,19,8,5,1
2026-05-30 00:00:00+00:00,10,5,0,0
2026-05-31 00:00:00+00:00,22,9,0,0
2026-06-01 00:00:00+00:00,9,4,3,2
2026-06-02 00:00:00+00:00,10,5,5,2
2026-06-03 00:00:00+00:00,17,6,7,3
2026-06-04 00:00:00+00:00,2,2,7,5
