time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-31 00:00:00+00:00,16,9,8,2
2026-04-01 00:00:00+00:00,13,5,14,3
2026-04-02 00:00:00+00:00,9,5,15,6
2026-04-03 00:00:00+00:00,10,6,11,2
2026-04-04 00:00:00+00:00,3,3,2,2
2026-04-05 00:00:00+00:00,12,7,2,2
2026-04-06 00:00:00+00:00,17,9,1,1
2026-04-07 00:00:00+00:00,13,5,6,4
2026-04-08 00:00:00+00:00,8,4,13,5
2026-04-09 00:00:00+00:00,15,5,6,1
2026-04-10 00:00:00+00:00,28,11,6,2
2026-04-11 00:00:00+00:00,38,12,1,1
2026-04-12 00:00:00+00:00,6,4,5,1
2026-04-13 00:00:00+00:00,7,5,9,5
