time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-31 00:00:00+00:00,8,2,,
2025-06-01 00:00:00+00:00,9,3,1.0,1.0
2025-06-02 00:00:00+00:00,9,3,3.0,2.0
2025-06-03 00:00:00+00:00,582,10,1.0,1.0
2025-06-04 00:00:00+00:00,17,5,2.0,1.0
2025-06-05 00:00:00+00:00,265,10,7.0,3.0
2025-06-06 00:00:00+00:00,330,10,1.0,1.0
2025-06-07 00:00:00+00:00,13,4,1.0,1.0
2025-06-08 00:00:00+00:00,12,3,1.0,1.0
2025-06-09 00:00:00+00:00,12,4,21.0,5.0
2025-06-10 00:00:00+00:00,109,6,3.0,2.0
2025-06-11 00:00:00+00:00,13,7,16.0,5.0
2025-06-12 00:00:00+00:00,11,5,1.0,1.0
2025-06-13 00:00:00+00:00,2,2,26.0,3.0
